Name,Position,Footed,Birthdate,Birthdate,Nationality,Club,Non-Penalty Goals,Non-Penalty xG(npxG),Shots Total,Assists,Expected Assisted Goals(xAG),npxG + xAG,Shot-Creating Actions,Passes Attempted,Pass Completion %,Progessive Passes,Progessive Carries,Successful Take-Ons,Touches(Att Pen),Tackles,Interceptions,Blocks,Clearances,Aerials Won
Gijs Smal,DF(FB-left),Left,August 31, 1997,Netherlands,Feyenoord,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gernot Trauner,DF-MF(CB-CM),Right,March 25, 1992,Austria,Feyenoord,0.14,0.06,1.00,0.14,96  ,0.11,0.71,62.9,88.7%,4.85,0.57,1.28,0.00,1.85,1.43,1.00,4.99,2.00
Ibrahim Osman,FW,N/A,November 29, 2004,Ghana,Feyenoord,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordan Lotomba,DF-MF(FB-right),Right,September 29, 1998,Switzerland,Feyenoord,0.08,0.08,0.68,0.00,12  ,0.14,1.35,46.0,83.5%,1.94,1.86,1.35,2.37,1.52,0.93,1.52,1.18,0.76
Bart Nieuwkoop,DF-MF(FB-right),Right,March 7, 1996,Netherlands,Feyenoord,0.00,0.05,0.55,0.18,9   ,0.09,0.55,37.6,72.9%,3.09,0.55,1.64,4.00,2.36,1.82,1.45,4.00,1.64
Ayase Ueda,FW,N/A,September 10, 1998,Japan,Feyenoord,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Julián Carranza,FW,Right,May 22, 2000,Argentina,Feyenoord,0.50,0.49,3.77,0.00,79  ,0.62,2.77,23.0,70.2%,2.10,0.92,5.79,5.45,1.34,0.84,0.92,1.59,2.01
Lutsharel Geertruida,DF(FB-right),Right,July 18, 2000,Netherlands,RB Leipzig,0.05,0.06,0.31,0.00,40  ,0.14,1.15,58.9,84.6%,4.39,0.94,1.10,2.20,1.52,1.05,0.78,2.51,0.57
Gjivai Zechiël,MF,N/A,June 1, 2004,Netherlands,Sparta Rotterdam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0241,0.00,0.00
Jakub Moder,MF(CM),Right,April 7, 1999,Poland,Feyenoord,0.00,0.04,1.43,0.00,15  ,0.17,2.14,44.9,79.7%,3.28,1.71,2.00,3.00,2.42,0.29,1.57,1.71,1.00
Marcos López,DF-MF(FB-left),Left,November 20, 1999,Peru,FC Copenhagen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0242,0.00,0.00
Quilindschy Hartman,DF(FB-left),Left,November 14, 2001,Netherlands,Feyenoord,0.00,0.00,0.00,2522,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
